plant,part,parasite,group,concentration_mgml,Pre,Dur,Post,delta,pct_change,block,flag
A. indica,seeds,T. congolense,100mg/ml,100,20.1,22,23.2,3.099999999999998,15.422885572139291,A. indica | seeds | T. congolense,NA
A. indica,stem bark,T. evansi,0.005mg/ml,0.005,20,23.27,25.73,5.73,28.65,A. indica | stem bark | T. evansi,NA
A. indica,stem bark,T. evansi,Negative Control,NA,21.6,21.7,16.4,-5.200000000000003,-24.074074074074083,A. indica | stem bark | T. evansi,severe weight loss (>=20%)
A. indica,stem bark,T. evansi,Positive Control,NA,23.4,23.9,24.13,0.7300000000000004,3.1196581196581215,A. indica | stem bark | T. evansi,NA
A. indica,leaves,T. evansi,100mg/ml,100,29.3,30.1,28.33,-0.9700000000000024,-3.310580204778165,A. indica | leaves | T. evansi,NA
A. indica,leaves,T. evansi,10mg/ml,10,28.03,28.87,28.53,0.5,1.783803068141277,A. indica | leaves | T. evansi,NA
A. indica,leaves,T. evansi,0.5mg/ml,0.5,28.33,28.8,27.5,-0.8299999999999983,-2.9297564419343396,A. indica | leaves | T. evansi,NA
A. indica,leaves,T. evansi,0.01mg/ml,0.01,24.17,26.07,28.25,4.079999999999998,16.880430285477857,A. indica | leaves | T. evansi,NA
A. indica,leaves,T. evansi,0.005mg/ml,0.005,26.07,25.07,25.67,-0.3999999999999986,-1.5343306482546935,A. indica | leaves | T. evansi,NA
A. indica,leaves,T. evansi,Negative Control,NA,28.2,33.77,NA,NA,NA,A. indica | leaves | T. evansi,missing (died)
A. indica,leaves,T. evansi,Positive Control,NA,25.2,25.9,27,1.8000000000000007,7.142857142857145,A. indica | leaves | T. evansi,NA
M. oleifera,seeds,T. evansi,100mg/ml,100,17.83,24.1,22.23,4.400000000000002,24.677509814918693,M. oleifera | seeds | T. evansi,NA
M. oleifera,seeds,T. evansi,10mg/ml,10,19.83,24.1,21.77,1.9400000000000013,9.783156833081197,M. oleifera | seeds | T. evansi,NA
M. oleifera,seeds,T. evansi,0.5mg/ml,0.5,16.47,20.47,19.67,3.200000000000003,19.429265330904695,M. oleifera | seeds | T. evansi,NA
M. oleifera,seeds,T. evansi,0.01mg/ml,0.01,20.03,23.2,26,5.969999999999999,29.80529206190713,M. oleifera | seeds | T. evansi,NA
M. oleifera,seeds,T. evansi,0.005mg/ml,0.005,18.2,21.97,20.47,2.2699999999999996,12.472527472527469,M. oleifera | seeds | T. evansi,NA
M. oleifera,seeds,T. evansi,Negative Control,NA,17.9,23.27,21.6,3.700000000000003,20.67039106145253,M. oleifera | seeds | T. evansi,NA
M. oleifera,seeds,T. evansi,Positive Control,NA,20.3,20.4,22,1.6999999999999993,8.3743842364532,M. oleifera | seeds | T. evansi,NA
M. oleifera,roots,T. evansi,100mg/ml,100,22.07,21.77,22.26,0.19000000000000128,0.860897145446313,M. oleifera | roots | T. evansi,NA
M. oleifera,roots,T. evansi,10mg/ml,10,22.67,23.93,24.53,1.8599999999999994,8.204675782973089,M. oleifera | roots | T. evansi,NA
M. oleifera,roots,T. evansi,0.5mg/ml,0.5,23.63,24.7,25.07,1.4400000000000013,6.093948370715197,M. oleifera | roots | T. evansi,NA
M. oleifera,roots,T. evansi,0.01mg/ml,0.01,26.56,27.33,28.37,1.8100000000000023,6.814759036144587,M. oleifera | roots | T. evansi,NA
M. oleifera,roots,T. evansi,0.005mg/ml,0.005,23.1,24.5,25.6,2.5,10.822510822510822,M. oleifera | roots | T. evansi,NA
M. oleifera,roots,T. evansi,Negative Control,NA,26.9,27.67,25.23,-1.6699999999999982,-6.208178438661704,M. oleifera | roots | T. evansi,NA
M. oleifera,roots,T. evansi,Positive Control,NA,20,20.6,22,2,10,M. oleifera | roots | T. evansi,NA
M. oleifera,stem bark,T. evansi,100mg/ml,100,18.07,20.2,21.3,3.2300000000000004,17.874930824571116,M. oleifera | stem bark | T. evansi,NA
M. oleifera,stem bark,T. evansi,10mg/ml,10,18.93,20.17,22.2,3.2699999999999996,17.274167987321707,M. oleifera | stem bark | T. evansi,NA
M. oleifera,stem bark,T. evansi,0.5mg/ml,0.5,17.93,19.33,21.63,3.6999999999999993,20.63580591187953,M. oleifera | stem bark | T. evansi,NA
M. oleifera,stem bark,T. evansi,0.01mg/ml,0.01,20.23,21.53,20.73,0.5,2.4715768660405337,M. oleifera | stem bark | T. evansi,NA
M. oleifera,stem bark,T. evansi,0.005mg/ml,0.005,21.87,23.03,21.5,-0.370000000000001,-1.6918152720621902,M. oleifera | stem bark | T. evansi,NA
M. oleifera,stem bark,T. evansi,Negative Control,NA,24.43,25.43,23.13,-1.3000000000000007,-5.321326238231685,M. oleifera | stem bark | T. evansi,NA
M. oleifera,stem bark,T. evansi,Positive Control,NA,19.5,20.3,21,1.5,7.6923076923076925,M. oleifera | stem bark | T. evansi,NA
M. oleifera,leaves,T. evansi,100mg/ml,100,16.17,22.13,20.63,4.459999999999997,27.581941867656134,M. oleifera | leaves | T. evansi,NA
M. oleifera,leaves,T. evansi,10mg/ml,10,17.37,21.9,24.1,6.73,38.74496257915947,M. oleifera | leaves | T. evansi,NA
M. oleifera,leaves,T. evansi,0.5mg/ml,0.5,21.8,24.9,24.33,2.5299999999999976,11.605504587155952,M. oleifera | leaves | T. evansi,NA
M. oleifera,leaves,T. evansi,0.01mg/ml,0.01,20.47,22.53,20.3,-0.16999999999999815,-0.8304836345871918,M. oleifera | leaves | T. evansi,NA
M. oleifera,leaves,T. evansi,0.005mg/ml,0.005,17.53,22.13,20.27,2.7399999999999984,15.630347974900161,M. oleifera | leaves | T. evansi,NA
M. oleifera,leaves,T. evansi,Negative Control,NA,20.03,24.97,24,3.969999999999999,19.820269595606582,M. oleifera | leaves | T. evansi,NA
M. oleifera,leaves,T. evansi,Positive Control,NA,19,20.3,20.7,1.6999999999999993,8.947368421052628,M. oleifera | leaves | T. evansi,NA
