plant,part,parasite,group,concentration_mgml,Pre,Dur,Post,delta,pct_change,block,flag
A. indica,seeds,T. congolense,100mg/ml,100,50,52.1,52,2,4,A. indica | seeds | T. congolense,NA
M. oleifera,stem bark,T. congolense,0.01mg/ml,0.01,55.1,54,55,-0.10000000000000142,-0.18148820326679024,M. oleifera | stem bark | T. congolense,NA
M. oleifera,stem bark,T. congolense,0.005mg/ml,0.005,52.9,54.3,55,2.1000000000000014,3.9697542533081314,M. oleifera | stem bark | T. congolense,NA
M. oleifera,stem bark,T. congolense,Negative Control,NA,54.1,52,33.7,-20.4,-37.707948243992604,M. oleifera | stem bark | T. congolense,anemia
M. oleifera,stem bark,T. congolense,Positive Control,NA,53,53,54.3,1.2999999999999972,2.45283018867924,M. oleifera | stem bark | T. congolense,NA
M. oleifera,leaves,T. congolense,100mg/ml,100,52.4,52.1,53,0.6000000000000014,1.145038167938934,M. oleifera | leaves | T. congolense,NA
M. oleifera,leaves,T. congolense,10mg/ml,10,50.5,52,52,1.5,2.9702970297029703,M. oleifera | leaves | T. congolense,NA
M. oleifera,leaves,T. congolense,0.5mg/ml,0.5,55.1,54.6,54.3,-0.8000000000000043,-1.451905626134309,M. oleifera | leaves | T. congolense,NA
M. oleifera,leaves,T. congolense,0.01mg/ml,0.01,52.1,52.2,53,0.8999999999999986,1.7274472168905923,M. oleifera | leaves | T. congolense,NA
M. oleifera,leaves,T. congolense,0.005mg/ml,0.005,53,54.2,55.3,2.299999999999997,4.339622641509429,M. oleifera | leaves | T. congolense,NA
M. oleifera,leaves,T. congolense,Negative Control,NA,51,44.6,NA,NA,NA,M. oleifera | leaves | T. congolense,missing (died)
M. oleifera,leaves,T. congolense,Positive Control,NA,53.2,53,54.5,1.2999999999999972,2.4436090225563856,M. oleifera | leaves | T. congolense,NA
A. indica,seeds,T. evansi,100mg/ml,100,56.3,58,56.7,0.4000000000000057,0.7104795737122659,A. indica | seeds | T. evansi,NA
A. indica,seeds,T. evansi,10mg/ml,10,54.3,54.3,55.8,1.5,2.7624309392265194,A. indica | seeds | T. evansi,NA
A. indica,seeds,T. evansi,0.5mg/ml,0.5,56.3,56.7,31,-25.299999999999997,-44.93783303730017,A. indica | seeds | T. evansi,severe anemia
A. indica,seeds,T. evansi,0.01mg/ml,0.01,56.3,53,46.5,-9.799999999999997,-17.406749555950263,A. indica | seeds | T. evansi,NA
A. indica,seeds,T. evansi,0.005mg/ml,0.005,56.7,55.3,49,-7.700000000000003,-13.58024691358025,A. indica | seeds | T. evansi,NA
A. indica,seeds,T. evansi,Negative Control,NA,56,54,31,-25,-44.642857142857146,A. indica | seeds | T. evansi,severe anemia
A. indica,seeds,T. evansi,Positive Control,NA,56.7,58.9,58.9,2.1999999999999957,3.8800705467372056,A. indica | seeds | T. evansi,NA
A. indica,roots,T. evansi,100mg/ml,100,50.67,54.5,56.5,5.829999999999998,11.505821985395693,A. indica | roots | T. evansi,NA
A. indica,roots,T. evansi,10mg/ml,10,52,56,56.5,4.5,8.653846153846153,A. indica | roots | T. evansi,NA
A. indica,roots,T. evansi,0.5mg/ml,0.5,56.67,55,45,-11.670000000000002,-20.592906299629437,A. indica | roots | T. evansi,NA
A. indica,roots,T. evansi,0.01mg/ml,0.01,54.667,53,55.33,0.6629999999999967,1.212797482942171,A. indica | roots | T. evansi,NA
A. indica,roots,T. evansi,0.005mg/ml,0.005,55.33,54.33,52,-3.3299999999999983,-6.0184348454726155,A. indica | roots | T. evansi,NA
A. indica,roots,T. evansi,Negative Control,NA,50,42,41.5,-8.5,-17,A. indica | roots | T. evansi,NA
A. indica,roots,T. evansi,Positive Control,NA,55.7,56,55.8,0.09999999999999432,0.17953321364451402,A. indica | roots | T. evansi,NA
A. indica,stem bark,T. evansi,100mg/ml,100,51.67,53.33,53.67,2,3.8707180181923744,A. indica | stem bark | T. evansi,NA
A. indica,stem bark,T. evansi,10mg/ml,10,50,58.33,54.33,4.329999999999998,8.659999999999997,A. indica | stem bark | T. evansi,NA
A. indica,stem bark,T. evansi,0.5mg/ml,0.5,54.67,54.67,55,0.3299999999999983,0.6036217303822906,A. indica | stem bark | T. evansi,NA
A. indica,stem bark,T. evansi,0.01mg/ml,0.01,50.33,50,45.33,-5,-9.934432743890325,A. indica | stem bark | T. evansi,NA
A. indica,stem bark,T. evansi,0.005mg/ml,0.005,54,56.67,54.67,0.6700000000000017,1.2407407407407438,A. indica | stem bark | T. evansi,NA
A. indica,stem bark,T. evansi,Negative Control,NA,53,56.67,54.67,1.6700000000000017,3.150943396226418,A. indica | stem bark | T. evansi,NA
A. indica,stem bark,T. evansi,Positive Control,NA,55,54,55,0,0,A. indica | stem bark | T. evansi,NA
A. indica,leaves,T. evansi,100mg/ml,100,49.3,57.67,59.33,10.030000000000001,20.3448275862069,A. indica | leaves | T. evansi,NA
A. indica,leaves,T. evansi,10mg/ml,10,53.33,59.33,56,2.6700000000000017,5.00656291018189,A. indica | leaves | T. evansi,NA
A. indica,leaves,T. evansi,0.5mg/ml,0.5,56.33,53,54.67,-1.6599999999999966,-2.946919936090887,A. indica | leaves | T. evansi,NA
A. indica,leaves,T. evansi,0.01mg/ml,0.01,55,57.5,56.25,1.25,2.272727272727273,A. indica | leaves | T. evansi,NA
A. indica,leaves,T. evansi,0.005mg/ml,0.005,52.33,52,58.33,6,11.46569845213071,A. indica | leaves | T. evansi,NA
A. indica,leaves,T. evansi,Negative Control,NA,51.33,43.33,NA,NA,NA,A. indica | leaves | T. evansi,missing (died)
A. indica,leaves,T. evansi,Positive Control,NA,53,54,54,1,1.8867924528301887,A. indica | leaves | T. evansi,NA
M. oleifera,seeds,T. evansi,100mg/ml,100,56.33,49.67,54,-2.3299999999999983,-4.136339428368539,M. oleifera | seeds | T. evansi,NA
M. oleifera,seeds,T. evansi,10mg/ml,10,54.67,52,54.33,-0.3400000000000034,-0.6219132979696422,M. oleifera | seeds | T. evansi,NA
M. oleifera,seeds,T. evansi,0.5mg/ml,0.5,59.67,59.67,57.67,-2,-3.3517680576504105,M. oleifera | seeds | T. evansi,NA
