plant,part,parasite,group,concentration_mgml,timepoint,weight_g,animal_dead,data_flag
M. oleifera,stem bark,T. evansi,10mg/ml,10,Infection,20.17,FALSE,NA
M. oleifera,stem bark,T. evansi,10mg/ml,10,Post-Infection,22.2,FALSE,NA
M. oleifera,stem bark,T. evansi,0.5mg/ml,0.5,Pre-Infection,17.93,FALSE,NA
M. oleifera,stem bark,T. evansi,0.5mg/ml,0.5,Infection,19.33,FALSE,NA
M. oleifera,stem bark,T. evansi,0.5mg/ml,0.5,Post-Infection,21.63,FALSE,NA
M. oleifera,stem bark,T. evansi,0.01mg/ml,0.01,Pre-Infection,20.23,FALSE,NA
M. oleifera,stem bark,T. evansi,0.01mg/ml,0.01,Infection,21.53,FALSE,NA
M. oleifera,stem bark,T. evansi,0.01mg/ml,0.01,Post-Infection,20.73,FALSE,NA
M. oleifera,stem bark,T. evansi,0.005mg/ml,0.005,Pre-Infection,21.87,FALSE,NA
M. oleifera,stem bark,T. evansi,0.005mg/ml,0.005,Infection,23.03,FALSE,NA
M. oleifera,stem bark,T. evansi,0.005mg/ml,0.005,Post-Infection,21.5,FALSE,NA
M. oleifera,stem bark,T. evansi,Negative Control,NA,Pre-Infection,24.43,FALSE,NA
M. oleifera,stem bark,T. evansi,Negative Control,NA,Infection,25.43,FALSE,NA
M. oleifera,stem bark,T. evansi,Negative Control,NA,Post-Infection,23.13,FALSE,NA
M. oleifera,stem bark,T. evansi,Positive Control,NA,Pre-Infection,19.5,FALSE,NA
M. oleifera,stem bark,T. evansi,Positive Control,NA,Infection,20.3,FALSE,NA
M. oleifera,stem bark,T. evansi,Positive Control,NA,Post-Infection,21,FALSE,NA
M. oleifera,leaves,T. evansi,100mg/ml,100,Pre-Infection,16.17,FALSE,NA
M. oleifera,leaves,T. evansi,100mg/ml,100,Infection,22.13,FALSE,NA
M. oleifera,leaves,T. evansi,100mg/ml,100,Post-Infection,20.63,FALSE,NA
M. oleifera,leaves,T. evansi,10mg/ml,10,Pre-Infection,17.37,FALSE,NA
M. oleifera,leaves,T. evansi,10mg/ml,10,Infection,21.9,FALSE,NA
M. oleifera,leaves,T. evansi,10mg/ml,10,Post-Infection,24.1,FALSE,NA
M. oleifera,leaves,T. evansi,0.5mg/ml,0.5,Pre-Infection,21.8,FALSE,NA
M. oleifera,leaves,T. evansi,0.5mg/ml,0.5,Infection,24.9,FALSE,NA
M. oleifera,leaves,T. evansi,0.5mg/ml,0.5,Post-Infection,24.33,FALSE,NA
M. oleifera,leaves,T. evansi,0.01mg/ml,0.01,Pre-Infection,20.47,FALSE,NA
M. oleifera,leaves,T. evansi,0.01mg/ml,0.01,Infection,22.53,FALSE,NA
M. oleifera,leaves,T. evansi,0.01mg/ml,0.01,Post-Infection,20.3,FALSE,NA
M. oleifera,leaves,T. evansi,0.005mg/ml,0.005,Pre-Infection,17.53,FALSE,NA
M. oleifera,leaves,T. evansi,0.005mg/ml,0.005,Infection,22.13,FALSE,NA
M. oleifera,leaves,T. evansi,0.005mg/ml,0.005,Post-Infection,20.27,FALSE,NA
M. oleifera,leaves,T. evansi,Negative Control,NA,Pre-Infection,20.03,FALSE,NA
M. oleifera,leaves,T. evansi,Negative Control,NA,Infection,24.97,FALSE,NA
M. oleifera,leaves,T. evansi,Negative Control,NA,Post-Infection,24,FALSE,NA
M. oleifera,leaves,T. evansi,Positive Control,NA,Pre-Infection,19,FALSE,NA
M. oleifera,leaves,T. evansi,Positive Control,NA,Infection,20.3,FALSE,NA
M. oleifera,leaves,T. evansi,Positive Control,NA,Post-Infection,20.7,FALSE,NA
