plant,part,parasite,group,concentration_mgml,timepoint,weight_g,animal_dead,data_flag
M. oleifera,stem bark,T. congolense,0.005mg/ml,0.005,Post-Infection,23,FALSE,NA
M. oleifera,stem bark,T. congolense,Negative Control,NA,Pre-Infection,23,FALSE,NA
M. oleifera,stem bark,T. congolense,Negative Control,NA,Infection,22.9,FALSE,NA
M. oleifera,stem bark,T. congolense,Negative Control,NA,Post-Infection,17,FALSE,NA
M. oleifera,stem bark,T. congolense,Positive Control,NA,Pre-Infection,19,FALSE,NA
M. oleifera,stem bark,T. congolense,Positive Control,NA,Infection,21,FALSE,NA
M. oleifera,stem bark,T. congolense,Positive Control,NA,Post-Infection,23,FALSE,NA
M. oleifera,leaves,T. congolense,100mg/ml,100,Pre-Infection,20,FALSE,NA
M. oleifera,leaves,T. congolense,100mg/ml,100,Infection,22.2,FALSE,NA
M. oleifera,leaves,T. congolense,100mg/ml,100,Post-Infection,23.2,FALSE,NA
M. oleifera,leaves,T. congolense,10mg/ml,10,Pre-Infection,17.8,FALSE,NA
M. oleifera,leaves,T. congolense,10mg/ml,10,Infection,21,FALSE,NA
M. oleifera,leaves,T. congolense,10mg/ml,10,Post-Infection,20.1,FALSE,NA
M. oleifera,leaves,T. congolense,0.5mg/ml,0.5,Pre-Infection,19.9,FALSE,NA
M. oleifera,leaves,T. congolense,0.5mg/ml,0.5,Infection,19,FALSE,NA
M. oleifera,leaves,T. congolense,0.5mg/ml,0.5,Post-Infection,22.6,FALSE,NA
M. oleifera,leaves,T. congolense,0.01mg/ml,0.01,Pre-Infection,21,FALSE,NA
M. oleifera,leaves,T. congolense,0.01mg/ml,0.01,Infection,22.1,FALSE,NA
M. oleifera,leaves,T. congolense,0.01mg/ml,0.01,Post-Infection,23.8,FALSE,NA
M. oleifera,leaves,T. congolense,0.005mg/ml,0.005,Pre-Infection,21.8,FALSE,NA
M. oleifera,leaves,T. congolense,0.005mg/ml,0.005,Infection,22.5,FALSE,NA
M. oleifera,leaves,T. congolense,0.005mg/ml,0.005,Post-Infection,24,FALSE,NA
M. oleifera,leaves,T. congolense,Negative Control,NA,Pre-Infection,20,FALSE,NA
M. oleifera,leaves,T. congolense,Negative Control,NA,Infection,17.9,FALSE,NA
M. oleifera,leaves,T. congolense,Negative Control,NA,Post-Infection,NA,TRUE,missing = animal died before measurement
M. oleifera,leaves,T. congolense,Positive Control,NA,Pre-Infection,22,FALSE,NA
M. oleifera,leaves,T. congolense,Positive Control,NA,Infection,21.9,FALSE,NA
M. oleifera,leaves,T. congolense,Positive Control,NA,Post-Infection,24,FALSE,NA
A. indica,seeds,T. evansi,100mg/ml,100,Pre-Infection,28.86667,FALSE,NA
A. indica,seeds,T. evansi,100mg/ml,100,Infection,27.4333,FALSE,NA
A. indica,seeds,T. evansi,100mg/ml,100,Post-Infection,29.2,FALSE,NA
A. indica,seeds,T. evansi,10mg/ml,10,Pre-Infection,20.05,FALSE,NA
A. indica,seeds,T. evansi,10mg/ml,10,Infection,22.3333,FALSE,NA
A. indica,seeds,T. evansi,10mg/ml,10,Post-Infection,24.8,FALSE,NA
A. indica,seeds,T. evansi,0.5mg/ml,0.5,Pre-Infection,19.56667,FALSE,NA
A. indica,seeds,T. evansi,0.5mg/ml,0.5,Infection,22.3333,FALSE,NA
A. indica,seeds,T. evansi,0.5mg/ml,0.5,Post-Infection,22.1,FALSE,NA
A. indica,seeds,T. evansi,0.01mg/ml,0.01,Pre-Infection,19.36667,FALSE,NA
A. indica,seeds,T. evansi,0.01mg/ml,0.01,Infection,21.5,FALSE,NA
A. indica,seeds,T. evansi,0.01mg/ml,0.01,Post-Infection,20.2,FALSE,NA
A. indica,seeds,T. evansi,0.005mg/ml,0.005,Pre-Infection,19.13333,FALSE,NA
