plant,part,parasite,group,concentration_mgml,timepoint,pcv,animal_dead,data_flag
M. oleifera,roots,T. congolense,0.01mg/ml,0.01,Post-Infection,43.8,FALSE,NA
M. oleifera,roots,T. congolense,0.005mg/ml,0.005,Pre-Infection,54,FALSE,NA
M. oleifera,roots,T. congolense,0.005mg/ml,0.005,Infection,49.1,FALSE,NA
M. oleifera,roots,T. congolense,0.005mg/ml,0.005,Post-Infection,NA,TRUE,missing = animal died before measurement
M. oleifera,roots,T. congolense,Negative Control,NA,Pre-Infection,55.1,FALSE,NA
M. oleifera,roots,T. congolense,Negative Control,NA,Infection,34.3,FALSE,NA
M. oleifera,roots,T. congolense,Negative Control,NA,Post-Infection,NA,TRUE,missing = animal died before measurement
M. oleifera,roots,T. congolense,Positive Control,NA,Pre-Infection,53.4,FALSE,NA
M. oleifera,roots,T. congolense,Positive Control,NA,Infection,53,FALSE,NA
M. oleifera,roots,T. congolense,Positive Control,NA,Post-Infection,54,FALSE,NA
M. oleifera,stem bark,T. congolense,100mg/ml,100,Pre-Infection,50,FALSE,NA
M. oleifera,stem bark,T. congolense,100mg/ml,100,Infection,51,FALSE,NA
M. oleifera,stem bark,T. congolense,100mg/ml,100,Post-Infection,52.3,FALSE,NA
M. oleifera,stem bark,T. congolense,10mg/ml,10,Pre-Infection,52,FALSE,NA
M. oleifera,stem bark,T. congolense,10mg/ml,10,Infection,50.4,FALSE,NA
M. oleifera,stem bark,T. congolense,10mg/ml,10,Post-Infection,52.7,FALSE,NA
M. oleifera,stem bark,T. congolense,0.5mg/ml,0.5,Pre-Infection,52,FALSE,NA
M. oleifera,stem bark,T. congolense,0.5mg/ml,0.5,Infection,52,FALSE,NA
M. oleifera,stem bark,T. congolense,0.5mg/ml,0.5,Post-Infection,52.6,FALSE,NA
M. oleifera,stem bark,T. congolense,0.01mg/ml,0.01,Pre-Infection,55.1,FALSE,NA
M. oleifera,stem bark,T. congolense,0.01mg/ml,0.01,Infection,54,FALSE,NA
